anzsco_code,occupation_name,weekly_cash_earnings_males_raw,weekly_cash_earnings_females_raw,weekly_cash_earnings_persons_raw,average_age_males_raw,average_age_females_raw,average_age_persons_raw,currency,earnings_period,reference_period,source,source_table,source_file
7119,Other machine operators,1864.1,1182.5,1491.6,46.0,43.7,44.8,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
7121,"Crane, hoist and lift operators",,,3434.3,,,47.1,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
7122,"Drillers, miners and shot firers",2994.1,2551.7,2935.5,43.5,44.1,43.6,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
7123,Engineering production workers,1819.3,1687.7,1814.6,45.5,47.9,45.6,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
7129,Other stationary plant operators,2123.5,1842.9,2078.9,45.6,37.4,44.3,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
7211,"Agricultural, forestry and horticultural plant operators",,,1519.7,,,48.1,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
7212,Earthmoving plant operators,2078.5,2804.3,2105.5,41.5,37.0,41.3,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
7213,Forklift drivers,1458.5,1424.4,1455.9,43.0,36.0,42.5,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
7219,Other mobile plant operators,1846.7,1765.4,1836.3,39.3,35.0,38.7,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
7311,Automobile drivers,466.6,437.7,465.6,58.9,37.4,58.1,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
7312,Bus and coach drivers,1424.9,1013.0,1359.1,55.2,55.0,55.2,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
7313,Train and tram drivers,2971.2,3221.3,3019.5,52.3,43.5,50.6,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
7321,Delivery drivers,1121.2,832.6,1067.9,44.8,41.2,44.1,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
7331,Truck drivers,1897.9,1914.6,1899.1,48.3,41.5,47.9,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
7411,Storepersons,1327.3,1062.2,1265.8,39.6,37.4,39.1,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
8111,Car detailers,,,983.3,,,32.9,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
8112,Commercial cleaners,793.3,766.8,776.0,38.5,45.0,42.8,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
